#Coverage	Number of genomic locations
1486.0	245.0
1487.0	254.0
1488.0	217.0
1489.0	222.0
1490.0	255.0
1491.0	214.0
1492.0	232.0
1493.0	233.0
1494.0	213.0
1495.0	253.0
1496.0	226.0
1497.0	230.0
1498.0	215.0
1499.0	229.0
1500.0	249.0
1501.0	225.0
1502.0	207.0
1503.0	240.0
1504.0	217.0
1505.0	222.0
1506.0	224.0
1507.0	251.0
1508.0	240.0
1509.0	201.0
1510.0	214.0
1511.0	235.0
1512.0	221.0
1513.0	213.0
1514.0	184.0
1515.0	239.0
1516.0	248.0
1517.0	215.0
1518.0	236.0
1519.0	226.0
1520.0	238.0
1521.0	192.0
1522.0	214.0
1523.0	182.0
1524.0	210.0
1525.0	222.0
1526.0	216.0
1527.0	183.0
1528.0	227.0
1529.0	220.0
1530.0	201.0
1531.0	204.0
1532.0	209.0
1533.0	214.0
1534.0	204.0
1535.0	222.0
1536.0	223.0
1537.0	217.0
1538.0	223.0
1539.0	212.0
1540.0	219.0
1541.0	221.0
1542.0	227.0
1543.0	222.0
1544.0	205.0
1545.0	208.0
1546.0	217.0
1547.0	207.0
1548.0	214.0
1549.0	208.0
1550.0	226.0
1551.0	217.0
1552.0	232.0
1553.0	206.0
1554.0	209.0
1555.0	186.0
1556.0	180.0
1557.0	208.0
1558.0	199.0
1559.0	217.0
1560.0	200.0
1561.0	171.0
1562.0	177.0
1563.0	180.0
1564.0	220.0
1565.0	229.0
1566.0	207.0
1567.0	201.0
1568.0	222.0
1569.0	177.0
1570.0	198.0
1571.0	191.0
